ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
607,5/25/2020,2020,,North Babylon School District,NY,New York,Suffolk County,"Suffolk County, NY",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://patch.com/new-york/deerpark-northbabylon/north-babylon-sd-investigating-ransomware-type-computer-virus,,
608,5/25/2020,2020,,Hospitals in Spain,Spain,,,,Healthcare and Public Health,,,,,,,,,,,,https://es.cointelegraph.com/news/hackers-attack-spanish-hospitals-and-demand-bitcoin-amid-the-coronavirus?_ga=2.251084613.271876338.1591217116-1305333063.1591028698,,
609,5/26/2020,2020,,Rio Arriba County,NM,New Mexico,Rio Arriba County,"Rio Arriba County, NM",Government Facilities,,,,,,,,,,,,https://www.govtech.com/security/New-Mexico-County-Government-Falls-Victim-to-Ransomware.html,,
610,5/27/2020,2020,,Michigan State University,MI,Michigan,Ingham County,"Ingham County, MI",Education Facilities Subsector,,NetWalker,S0457,,,,,,No,N/A,N/A,https://www.zdnet.com/article/michigan-state-university-hit-by-ransomware-gang/; https://www.msspalert.com/cybersecurity-news/mailto-michigan-state-university/,,threatening to leak data if MSU doesn't pay within 1 week
611,5/28/2020,2020,,Owens Ear Center (Fort Worth),TX,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.beckersasc.com/asc-news/ransomware-attack-on-texas-ent-center-encrypts-19-908-patient-files.html,,
612,5/29/2020,2020,,Conducent,NJ,,,,Information Technology,,Maze,S0449,10 hours,1 day or less,,,,,,,https://www.bleepingcomputer.com/news/security/business-services-giant-conduent-hit-by-maze-ransomware/;https://www.crn.com/news/channel-programs/conduent-hit-by-maze-ransomware-documents-stolen-security-analysts; https://www.cbronline.com/cybersecurity/breaches/conduent-ransomware-maze/,,
613,5/29/2020,2020,,Telkom,South Africa,,,,Communications,,Revil/sodinokibi,S0496,4,1 week or less,,,,,,,https://mybroadband.co.za/news/security/354295-telkom-outages-caused-by-ransomware-attack-sources.html; https://mybroadband.co.za/news/security/354585-ransomware-attackers-threaten-to-leak-telkom-client-database.html,,possibly not ransomware but unsure
614,5/30/2020,2020,,Excis,Global,,,,Information Technology,,Sekhmet,,,,,,,,,,https://www.itwire.com/security/big-global-it-outsourcer-excis-hit-by-windows-ransomware.html,,
615,6/1/2020,2020,Jun-20,Medservicegroup,Ukraine,,,,Critical Manufacturing,Healthcare and Public Health,Dharma,,,,,,,,,,https://www.bullguard.com/blog/2020/06/medical-company-turns-to-bullguard-small-office-security-for-robust-protection-against-ransomware,,
616,6/1/2020,2020,Jun-20,Mitsubishi,Europe,,,,Critical Manufacturing,,DoppelPaymer,,,,,,,,,,https://cointelegraph.com/news/lg-and-mitsubishi-hit-by-ransomware-attacks-data-leak-coming-soon,,
617,6/1/2020,2020,"Unspecified, June 2020",Westech International (US military contractor),USA,,,,Defense Industrial Base,,Maze,S0449,,,,,,,,,https://news.sky.com/story/hackers-steal-secrets-from-us-nuclear-missile-contractor-11999442; https://threatpost.com/nuclear-contractor-maze-ransomware-data-leaked/156289/,,
618,6/1/2020,2020,Jun-20,Electricity Generating Authority of Thailand,Thailand,,,,Energy,,Maze,S0449,,,,,,No,N/A,N/A,https://www.itwire.com/security/attackers-hit-thai-power-authority-using-maze-ransomware.html,,
619,6/1/2020,2020,Jun-20,LG Electronics,South Korea,,,,Information Technology,Communications,Maze,S0449,,,,,,No,N/A,N/A,https://www.oodaloop.com/briefs/2020/06/25/lg-electronics-allegedly-hit-by-maze-ransomware-attack/; https://www.zdnet.com/article/ransomware-gang-publishes-tens-of-gbs-of-internal-data-from-lg-and-xerox/,,
620,6/1/2020,2020,Jun-20,WorldNet Telecommunications and ISP,Puerto Rico,,,,Communications,,Maze,S0449,,,,,,,,,https://twitter.com/ransomleaks/status/1276373291998023680; https://www.itpro.co.uk/security/ransomware/356329/xerox-becomes-latest-maze-ransomware-victim,,
621,6/1/2020,2020,Jun-20,Columbus Metro Federal Credit Union,OH,,,,Financial Services,,Maze,S0449,,,,,,,,,https://www.itpro.co.uk/security/ransomware/356329/xerox-becomes-latest-maze-ransomware-victim; https://www.cutoday.info/Fresh-Today/One-CU-s-Personal-Member-Data-Reportedly-Posted-on-Internet-as-Part-of-Ransomware-Attack,,
622,6/1/2020,2020,Jun-20,Webuild SpA (industrial group),Italy,,,,Critical Manufacturing,,Maze,S0449,,,,,,,,,https://www.itpro.co.uk/security/ransomware/356329/xerox-becomes-latest-maze-ransomware-victim; https://twitter.com/AuCyble/status/1275697214782951424,,
623,6/1/2020,2020,First week of June,Faxon Machining,OH,,,,Critical Manufacturing,Energy,Maze,S0449,,,,,,,,,https://cyware.com/news/maze-ransomware-does-it-again-this-time-targets-us-aerospace-services-provider-07a1dacd,,
624,6/1/2020,2020,,Fisher and Paykel Appliances,New Zealand,,,,Critical Manufacturing,,nefilim,,,,,,,,,,https://www.itnews.com.au/news/fisher-paykel-appliances-struck-by-nefilim-ransomware-549102,,
625,6/1/2020,2020,,University of San Francisco (UCSF),CA,California,San Francisco County,"San Francisco County, CA",Education Facilities Subsector,,NetWalker,S0457,announced on june 26 that the ransom was paid (25 days),1 month or less,Undisclosed bitcoin,$3 million,$5000000 or less,Yes,Bitcoin,1.14 million (116 bitcoin),https://cointelegraph.com/news/ransomware-strikes-three-us-universities; https://www.bloomberg.com/news/articles/2020-06-27/california-university-paid-1-14-million-after-ransomware-attack; https://www.foxnews.com/tech/university-pays-over-1m-to-ransomware-gang; https://www.livebitcoinnews.com/bitcoin-ransomware-attacks-are-growing-at-an-alarming-rate/; https://www.bloomberg.com/news/features/2020-08-19/ucsf-hack-shows-evolving-risks-of-ransomware-in-the-covid-era,,
626,6/1/2020,2020,first week of june 2020,Symbiotic LLC,MA,,,,Information Technology,,Revil/sodinokibi,S0496,,,,,,,,,;https://cointelegraph.com/news/robotics-company-falls-prey-to-ransomware-attack,,
627,6/1/2020,2020,Jun-20,Goodman Mintz LLP,Canada,,,,Financial Services,,Revil/sodinokibi,S0496,,,,,,No,N/A,N/A,https://cointelegraph.com/news/well-known-ransomware-gang-strikes-three-companies-in-the-us-and-canada,,
628,6/1/2020,2020,Jun-20,ZEGG Hotels & Store,Switzerland,,,,Commercial Facilities,,Revil/sodinokibi,S0496,,,,,,,,,https://cointelegraph.com/news/well-known-ransomware-gang-strikes-three-companies-in-the-us-and-canada,,
629,6/1/2020,2020,Jun-20,"Crozer-Keystone Health System (Delaware County, PA)",PA,,,,Healthcare and Public Health,,Revil/sodinokibi,S0496,,,Undisclosed bitcoin,,,No,N/A,N/A,https://cointelegraph.com/news/ransomware-gang-auctions-off-us-healthcare-data-for-bitcoin,,
630,6/1/2020,2020,"Unspecified, possibly June 2020",Unnamed small company,KY,,,,Critical Manufacturing,,,,,,"$400,000 in bitcoin","$400,000 ",$1000000 or less,Yes,Bitcoin,"$150,000",https://www.techrepublic.com/article/ransomware-attack-why-a-small-business-paid-the-150000-ransom/,,
631,6/1/2020,2020,Jun-20,Sapiens (Software Company),Israel,,,,Information Technology,,,,,,$250000 in bitcoin,"$250,000 ",$1000000 or less,Yes,Bitcoin,"$250,000",https://www.israeldefense.co.il/en/node/43540,,
632,6/1/2020,2020,Jun-20,Indiabulls Group,India,,,,Financial Services,,,,,,,,,,,,https://economictimes.indiatimes.com/industry/banking/finance/ransomware-allegedly-hits-indiabulls-group-cyble/articleshow/76525764.cms,,
633,6/3/2020,2020,,Digital Management Inc. (NASA Contractor),MD,,,,Information Technology,,DoppelPaymer,,,,,,,,,,https://www.zdnet.com/article/ransomware-gang-says-it-breached-one-of-nasas-it-contractors/,,
634,6/3/2020,2020,,Columbia College of Chicago,IL,Illinois,Cook County,"Cook County, IL",Education Facilities Subsector,,NetWalker,S0457,,,Undisclosed bitcoin,,,Yes,,,https://cointelegraph.com/news/ransomware-strikes-three-us-universities; https://www.infosecurity-magazine.com/news/ransomware-strikes-third-us/,,
635,6/5/2020,2020,,"City of Florence, Alabama",AL,,Lauderdale County,"Lauderdale County, AL",Government Facilities,,DoppelPaymer,,,,39 bitcoin,"$378,000 ",$1000000 or less,Yes,Bitcoin,291000 (30 bitcoin),https://krebsonsecurity.com/2020/06/florence-ala-hit-by-ransomware-12-days-after-being-alerted-by-krebsonsecurity/; https://www.natlawreview.com/article/alabama-city-hit-ransomware,,
636,6/5/2020,2020,,2 undisclosed Alabama cities,AL,,,", AL",Government Facilities,,,,,,,,,,,,https://www.govinfosecurity.com/city-pays-ransom-despite-pre-ransomware-outbreak-hack-alert-a-14427,,
637,6/6/2020,2020,,Lorien Health Services,MD,,,,Healthcare and Public Health,,NetWalker,S0457,,,,,,No,N/A,N/A,https://securityboulevard.com/2020/07/maryland-based-nursing-home-announces-ransomware-attack-affecting-nearly-50000-residents/,,
638,6/7/2020,2020,,Enel Argentina Edesur S.A. Buenos Aires,Argentina,,,,Energy,,Snake,,about 12 hours,1 day or less,,,,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/power-company-enel-group-suffers-snake-ransomware-attack/,,
639,6/7/2020,2020,,Honda Motor Co.,Global,,,,Critical Manufacturing,,Snake,,,,Undisclosed bitcoin,,,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/power-company-enel-group-suffers-snake-ransomware-attack/; https://www.bleepingcomputer.com/news/security/honda-investigates-possible-ransomware-attack-networks-impacted/,,
640,6/8/2020,2020,,Collabera,NJ,,,,Information Technology,,Maze,S0449,,,,,,,,,https://www.teiss.co.uk/collabera-maze-ransomware-attack/,,"said they restored from backups, did not mention anything about the ransom"
641,6/9/2020,2020,,Lion (Beverage giant),Australia,,,,Food and Agriculture,,Revil/sodinokibi,S0496,2.5 weeks,1 month or less,"1,000,000","1,000,000",$1000000 or less,,,,https://www.zdnet.com/article/lion-warns-of-beer-shortages-following-ransomware-attack/; https://www.infosecurity-magazine.com/news/trouble-brewing-aussie-beer/; https://www.gizmodo.com.au/2020/06/lion-beer-producer-ransomware-gang-revil/; https://securityboulevard.com/2020/06/ransomware-attack-confirmed-by-australia-based-beverage-manufacturer/; https://www.zdnet.com/article/lion-gets-breweries-up-and-running-following-ransomware-attack/,,Attack occurred right after covid-19 restrictions were eased
642,6/10/2020,2020,"Date of attack unknown, but Maze released a list of victims on june 10 2020",FERSPED Inc. (Macedonian shipping company),Macedonia,,,,Transportation Systems,,Maze,S0449,,,,,,,,,https://www.cyfirma.com/maze-ransomware-group-declared-successful-exploits-of-many-organizations-and-released-massive-data-on-public-site-in-one-day/,,
643,6/10/2020,2020,"Date of attack unknown, but Maze released a list of victims on june 10 2020",United Enertech (US construction company,TN,,,,Critical Manufacturing,,Maze,S0449,,,,,,,,,https://www.cyfirma.com/maze-ransomware-group-declared-successful-exploits-of-many-organizations-and-released-massive-data-on-public-site-in-one-day/,,
644,6/10/2020,2020,"Date of attack unknown, but Maze released a list of victims on june 10 2020",Domingos Martins,Brazil,,,,Government Facilities,,Maze,S0449,,,,,,,,,https://minutodaseguranca.blog.br/ransomware-maze-anuncia-invasao-nas-redes-da-cpfl-e-outras-empresas/,,
645,6/10/2020,2020,"Date of attack unknown, but Maze released a list of victims on june 10 2020",Daily Thermetrics,TX,,,,Critical Manufacturing,,Maze,S0449,,,,,,,,,https://minutodaseguranca.blog.br/ransomware-maze-anuncia-invasao-nas-redes-da-cpfl-e-outras-empresas/,,
646,6/10/2020,2020,"Date of attack unknown, but Maze released a list of victims on june 10 2020",John Christner Trucking,OK,,,,Transportation Systems,,Maze,S0449,,,,,,,,,https://minutodaseguranca.blog.br/ransomware-maze-anuncia-invasao-nas-redes-da-cpfl-e-outras-empresas/,,
647,6/10/2020,2020,"Date of attack unknown, but Maze released a list of victims on june 10 2020","Mead O'Brien, Inc",MO,,,,Critical Manufacturing,,Maze,S0449,,,,,,,,,https://minutodaseguranca.blog.br/ransomware-maze-anuncia-invasao-nas-redes-da-cpfl-e-outras-empresas/,,
648,6/10/2020,2020,"Date of attack unknown, but Maze released a list of victims on june 10 2020",Munoz Engineering PC,NY,,,,Critical Manufacturing,,Maze,S0449,,,,,,,,,https://minutodaseguranca.blog.br/ransomware-maze-anuncia-invasao-nas-redes-da-cpfl-e-outras-empresas/,,
649,6/10/2020,2020,"Date of attack unknown, but Maze released a list of victims on june 10 2020",Ahmed Almazrouei Group,GCC Region,,,,Critical Manufacturing,Energy,Maze,S0449,,,,,,,,,https://minutodaseguranca.blog.br/ransomware-maze-anuncia-invasao-nas-redes-da-cpfl-e-outras-empresas/,,
650,6/10/2020,2020,"Date of attack unknown, but Maze released a list of victims on june 10 2020",Omnix Int'l,UAE,,,,Information Technology,,Maze,S0449,,,,,,,,,https://minutodaseguranca.blog.br/ransomware-maze-anuncia-invasao-nas-redes-da-cpfl-e-outras-empresas/,,
651,6/10/2020,2020,"Date of attack unknown, but Maze released a list of victims on june 10 2020","Westmoreland Mechanical Testing and Research, Inc.",PA,,,,Critical Manufacturing,Chemical,Maze,S0449,,,,,,,,,https://minutodaseguranca.blog.br/ransomware-maze-anuncia-invasao-nas-redes-da-cpfl-e-outras-empresas/,,
652,6/10/2020,2020,,"City of Keizer, Oregon",OR,,Marion County,"Marion County, OR",Government Facilities,,,,1.5 weeks,1 month or less,48000,48000,$50000 or less,Yes,,"$48,000",https://www.govtech.com/security/Keizer-Ore-Pays-48000-to-Hackers-After-Ransomware-Attack.html,,
653,6/11/2020,2020,,"Knoxville PD and City of Knoxville, TN (Knox County)",TN,Tennessee,Knox County,"Knox County, Tennessee",Government Facilities,Emergency Services,DoppelPaymer,,Ongoing as of July 3,,42.5 bitcoin,"$393,000",$1000000 or less,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/city-of-knoxville-shuts-down-network-after-ransomware-attack/; https://www.knoxnews.com/story/news/2020/06/12/city-knoxville-ransomware-attack-what-we-know/3174334001/; https://www.infosecurity-magazine.com/news/ransomware-hits-tennessee-city/; https://www.wate.com/news/local-news/knoxville-will-not-pay-ransomware-attacker/; https://www.knoxnews.com/story/news/2020/07/02/ransomware-attackers-pressure-knoxville-posting-city-data-online/5363018002/; https://www.smartcitiesdive.com/news/knoxville-tn-data-published-online-after-ransomware-attack/581065/; https://www.wate.com/news/local-news/knoxville-pays-217k-to-combat-june-2020-ransomware-attack/,,
654,6/14/2020,2020,,Tallapoosa County Probate Office (Alabama),AL,,Tallapoosa County,"Tallapoosa County, AL",Government Facilities,,,,5,1 week or less,,,,No,N/A,N/A,https://www.alexcityoutlook.com/news/tallapoosa-county-recovers-from-ransomware-attack/article_11c1983e-b23a-11ea-a31f-c353b4adbb67.html,,
655,6/16/2020,2020,,Care New England,RI,,,,Healthcare and Public Health,,,,,,,,,,,,https://turnto10.com/news/local/cyber-security-expert-says-care-new-england-hack-is-indicative-of-ransomware,,
656,6/16/2020,2020,,Light,CA,,,,Critical Manufacturing,,,,,,107213.96XMR (Moneros),$7 million,More than $5000000,,,,https://vejario.abril.com.br/cidade/hackers-invadem-light-resgate/,,
657,6/20/2020,2020,,SilPac,CA,,,,Energy,,Sekhmet,,,,,,,,,,https://www.itwire.com/security/criminals-use-sekhmet-ransomware-to-hit-gas-company-silpac-twice.html,,
658,6/22/2020,2020,,Electricity Generating Authority of Thailand,Thailand,,,,Energy,,Maze,S0449,,,,,,,,,https://www.itwire.com/security/attackers-hit-thai-power-authority-using-maze-ransomware.html; https://www.itwire.com/security/maze-used-to-attack-on-big-thai-beverages-company.html,,
659,6/25/2020,2020,,Xerox Corporation,UK (London),,,,Information Technology,,Maze,S0449,,,,,,No,N/A,N/A,https://www.crn.com.au/news/xerox-files-allegedly-stolen-by-maze-ransomware-group-reports-550026; https://www.bleepingcomputer.com/news/security/business-giant-xerox-allegedly-suffers-maze-ransomware-attack/; https://www.zdnet.com/article/ransomware-gang-publishes-tens-of-gbs-of-internal-data-from-lg-and-xerox/,,
660,6/28/2020,2020,"Date of attack unknown, but Maze claimed them as a victim on june 28 2020",VirtualGuard,NV,,,,Emergency Services,,Maze,S0449,,,,,,,,,https://twitter.com/ransomleaks/status/1277285675142909953; https://twitter.com/ransomleaks/status/1277285675142909953,,"In a tweet, maze claimed the attack"
661,6/29/2020,2020,,Ostermeir FZE (engineering firm),UAE,,,,Critical Manufacturing,,Maze,S0449,,,,,,No,N/A,N/A,https://twitter.com/ransomleaks/status/1277281322885681154,,"In a tweet, maze claimed the attack"
662,7/1/2020,2020,Jul-20,Thai Beverage Public Company,Thailand,,,,Food and Agriculture,,Maze,S0449,,,,,,,,,https://www.itwire.com/security/maze-used-to-attack-on-big-thai-beverages-company.html,,
663,7/1/2020,2020,,Trinity Metro (Fort Worth transit agency),TX,,,,Transportation Systems,,NetWalker,S0457,,,,,,,,,https://www.scmagazine.com/home/security-news/ransomware/netwalker-ransomware-group-claims-attack-on-fort-worth-transportation-agency/,,phone lines and ACCESS booking system were down
664,7/1/2020,2020,Jul-20,Durham Radio,Canada,,,,Communications,,Pysa/Mespinoza,,"a few hour to go back on air, few days for commercials and announcers",1 week or less,,,,No,N/A,N/A,https://www.fyimusicnews.ca/articles/2020/07/19/durham-radio-beats-back-ransomware-attack,,experienced a less severe attack 2 years prior
665,7/1/2020,2020,Jul-20,Actuaries and Associates (retirement specialist),TX,,,,Financial Services,,Revil/sodinokibi,S0496,,,,,,,,,https://www.itwire.com/security/attackers-use-revil-ransomware-to-hit-texas-retirement-specialist.html,,
666,7/1/2020,2020,Jul-20,ADIF (Spanish railway manager),Spain,,,,Transportation Systems,,Revil/sodinokibi,S0496,,,,,,,,,https://cointelegraph.com/news/spanish-railway-infrastructure-threatened-by-ransomware,,
667,7/1/2020,2020,Jul-20,Canada's Royal Military College,Canada,,,,Defense Industrial Base,Education Facilities Subsector,,,,,,,,,,,https://www.itwire.com/security/ransomware-suspected-in-attack-on-canada-defence-academy.html,,
